area,methods,path,handler_module,handler_name,source_file,source_line,template,auth_required,js_callers
unassigned,POST,/chat/brief/dismiss,web.routes.chat,dismiss_brief,web/routes/chat.py,2164,,session,0
unassigned,GET,/chat/history,web.routes.chat,get_chat_history,web/routes/chat.py,2067,_partials/chat_empty.html;_partials/chat_history.html,session,0
unassigned,POST,/chat/messages,web.routes.chat,post_message,web/routes/chat.py,1595,_partials/turn_started.html;_partials/chat_error.html,session,0
unassigned,POST,/chat/new,web.routes.chat,new_chat,web/routes/chat.py,2034,_partials/chat_empty.html,session,0
unassigned,GET,/chat/stream/{turn_id},web.routes.chat,chat_stream,web/routes/chat.py,1794,,session,1
unassigned,POST,/chat/tts,web.routes.chat,post_tts,web/routes/chat.py,1717,,session,1
unassigned,POST,/chat/voice,web.routes.chat,post_voice,web/routes/chat.py,1658,_partials/turn_started.html;_partials/chat_error.html,session,1
unassigned,GET,/docs,fastapi.applications,swagger_ui_html,.venv/lib/python3.13/site-packages/fastapi/applications.py,1119,,none,0
unassigned,GET,/docs/oauth2-redirect,fastapi.applications,swagger_ui_redirect,.venv/lib/python3.13/site-packages/fastapi/applications.py,1137,,none,0
unassigned,GET,/favicon.ico,web.main,_favicon,web/main.py,410,,none,0
unassigned,GET,/health,web.routes.health,health,web/routes/health.py,55,,none,0
unassigned,GET,/login,web.routes.login,login_form,web/routes/login.py,122,login.html,none,0
unassigned,POST,/login,web.routes.login,login_submit,web/routes/login.py,140,login.html,none,0
unassigned,GET,/openapi.json,fastapi.applications,openapi,.venv/lib/python3.13/site-packages/fastapi/applications.py,1104,,none,0
unassigned,GET,/redoc,fastapi.applications,redoc_html,.venv/lib/python3.13/site-packages/fastapi/applications.py,1147,,none,0
watch_desk,GET,/api/watch-desk/briefing,web.routes.watch_desk,get_briefing,web/routes/watch_desk.py,1914,_partials/watch_desk_briefing.html,session,0
watch_desk,GET,/api/watch-desk/briefing/poll,web.routes.watch_desk,poll_briefing,web/routes/watch_desk.py,1973,_partials/watch_desk_briefing.html,session,0
watch_desk,POST,/api/watch-desk/cadence,web.routes.watch_desk,save_cadence,web/routes/watch_desk.py,4078,_partials/watch_desk_cadence_panel.html,session,0
watch_desk,GET,/api/watch-desk/calibration,web.routes.watch_desk,get_calibration,web/routes/watch_desk.py,2684,_partials/watch_desk_calibration.html,session,0
watch_desk,POST,/api/watch-desk/calibration,web.routes.watch_desk,save_calibration,web/routes/watch_desk.py,2808,_partials/watch_desk_calibration_editor.html,session,0
watch_desk,POST,/api/watch-desk/findings/{finding_id}/open-case,web.routes.watch_desk,open_case,web/routes/watch_desk.py,2232,_partials/watch_desk_resolve_error.html,session,0
watch_desk,POST,/api/watch-desk/findings/{finding_id}/resolve,web.routes.watch_desk,resolve_finding,web/routes/watch_desk.py,2135,_partials/watch_desk_briefing_feed.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,GET,/api/watch-desk/journal,web.routes.watch_desk,get_journal,web/routes/watch_desk.py,2369,_partials/watch_desk_journal.html,session,0
watch_desk,POST,/api/watch-desk/request-analysis,web.routes.watch_desk,request_analysis,web/routes/watch_desk.py,2057,_partials/watch_desk_request_analysis_result.html,session,0
watch_desk,POST,/api/watch-desk/watchpoints,web.routes.watch_desk,create_watchpoint,web/routes/watch_desk.py,3721,_partials/watch_desk_monitor.html;_partials/watch_desk_watchpoint_list.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,GET,/api/watch-desk/watchpoints/new,web.routes.watch_desk,get_watchpoint_form,web/routes/watch_desk.py,3672,_partials/watch_desk_watchpoint_form.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,GET,/api/watch-desk/watchpoints/overlay,web.routes.watch_desk,get_overlay_editor,web/routes/watch_desk.py,3047,_partials/watch_desk_sensitivity_editor.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,POST,/api/watch-desk/watchpoints/overlay,web.routes.watch_desk,save_overlay,web/routes/watch_desk.py,3108,_partials/watch_desk_resolve_error.html;_partials/watch_desk_monitor.html;_partials/watch_desk_watchpoint_list.html,session,0
watch_desk,GET,/api/watch-desk/watchpoints/{watchpoint_id}/edit,web.routes.watch_desk,get_watchpoint_editor,web/routes/watch_desk.py,3847,_partials/watch_desk_watchpoint_form.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,GET,/api/watch-desk/watchpoints/{watchpoint_id}/history,web.routes.watch_desk,get_watchpoint_history,web/routes/watch_desk.py,4019,_partials/watch_desk_watchpoint_history.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,POST,/api/watch-desk/watchpoints/{watchpoint_id}/retire,web.routes.watch_desk,retire_watchpoint,web/routes/watch_desk.py,3969,_partials/watch_desk_watchpoint_list.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,POST,/api/watch-desk/watchpoints/{watchpoint_id}/revise,web.routes.watch_desk,revise_watchpoint,web/routes/watch_desk.py,3893,_partials/watch_desk_monitor.html;_partials/watch_desk_watchpoint_list.html;_partials/watch_desk_resolve_error.html,session,0
watch_desk,GET,/watch-desk,web.routes.areas,watch_desk_view,web/routes/areas.py,257,areas/watch_desk.html;_partials/area_fragment.html,session,0
